@relation '400L-100L DATA'

@attribute GENDER {Male,Female}
@attribute 'AGE  ' {ADULT,'SENIOR ADULT'}
@attribute 'MOTHER ALIVE' {Yes,No}
@attribute 'MOTHER QUALIFICATION' {Secondary,Bachelor,NCE/Diploma/HND,Masters}
@attribute 'FATHER ALIVE' {Yes,No}
@attribute 'FATHER QUALIFICATION ' {NCE/Diploma/HND,Bachelor,Masters,PhD,Secondary}
@attribute 'MOTHER WORKING' {No,Yes}
@attribute 'FATHER WORKING' {No,Yes}
@attribute 'PARENTS TOGETHER' {No,Yes}
@attribute SPONSOR {father,Mother,Parents}
@attribute 'MARITAL STATUS' {Single}
@attribute PROXIMITY {Far,Near,'Very far'}
@attribute 'MOTHER INCOME' {Low,average,high}
@attribute 'FATHER INCOME' {Low,average,high}
@attribute 'SOCIAL MEDIA USE' {LITTLE,'VERY LITTLE',MUCH}
@attribute 'EXTRACURRICULAR ' {No,Yes}
@attribute 'SMOKING HABIT' {No}
@attribute 'BIO 101' {D,B,A,C}
@attribute 'CHM 101' {A,D,B,C,F,ABS}
@attribute 'CHM 103' {B,D,A,C,ABS}
@attribute 'CS 101' {D,A,B,C,F}
@attribute 'CS 102' {B,C,A,D,F}
@attribute 'GST 101' {D,B,C,A,F}
@attribute 'GST 102' {D,C,B,A,F}
@attribute 'GST 103' {D,C,B,A,F}
@attribute 'GST 104' {C,B,D,A,ABS}
@attribute ' MTH 101' {D,C,B,F,A}
Female,'SENIOR ADULT',Yes,NCE/Diploma/HND,Yes,Bachelor,Yes,Yes,Yes,Parents,Single,Far,average,average,LITTLE,Yes,No,B,C,C,A,A,A,D,D,A,C,F,D,F,B,GOOD
Male,'SENIOR ADULT',Yes,Bachelor,Yes,Bachelor,Yes,Yes,Yes,Parents,Single,Near,average,average,LITTLE,Yes,No,B,C,A,A,A,C,A,D,B,C,C,C,D,C,GOOD
Female,ADULT,Yes,NCE/Diploma/HND,Yes,NCE/Diploma/HND,Yes,Yes,No,father,Single,Near,average,average,MUCH,No,No,C,D,B,D,D,C,D,D,B,D,F,ABS,F,F,FAIR
Male,'SENIOR ADULT',Yes,Bachelor,No,NCE/Diploma/HND,Yes,Yes,No,Mother,Single,Far,average,average,LITTLE,Yes,No,C,D,B,A,D,C,D,C,A,D,F,D,F,F,FAIR
Male,'SENIOR ADULT',Yes,NCE/Diploma/HND,Yes,Secondary,Yes,No,Yes,father,Single,Far,average,average,MUCH,No,No,B,B,B,A,C,C,A,B,B,B,F,C,F,F,FAIR
Female,'SENIOR ADULT',Yes,Bachelor,Yes,Bachelor,Yes,Yes,Yes,Parents,Single,Near,average,average,'VERY LITTLE',Yes,No,B,A,A,B,A,B,A,B,A,B,C,D,C,B,GOOD
Female,'SENIOR ADULT',Yes,Bachelor,Yes,Bachelor,Yes,Yes,Yes,Parents,Single,Near,average,average,'VERY LITTLE',Yes,No,B,A,A,B,A,B,A,B,A,B,C,D,C,C,GOOD
Male,'SENIOR ADULT',Yes,Bachelor,Yes,PhD,Yes,Yes,Yes,Parents,Single,Near,average,high,'VERY LITTLE',Yes,No,A,A,A,A,A,A,A,A,A,A,A,A,A,B,GOOD
Male,'SENIOR ADULT',No,NCE/Diploma/HND,Yes,Bachelor,Yes,Yes,No,father,Single,Far,average,average,LITTLE,Yes,No,B,A,B,B,B,C,A,B,A,D,C,D,D,D,GOOD
Male,ADULT,Yes,Bachelor,Yes,Bachelor,Yes,Yes,Yes,Parents,Single,Near,average,average,LITTLE,Yes,No,B,B,A,A,A,C,A,C,A,B,D,D,C,C,GOOD
Male,'SENIOR ADULT',Yes,Secondary,Yes,Bachelor,Yes,Yes,Yes,father,Single,Near,Low,average,LITTLE,No,No,C,A,D,A,B,D,C,D,B,B,A,A,C,C,GOOD
Male,ADULT,Yes,Secondary,Yes,NCE/Diploma/HND,No,Yes,Yes,father,Single,Near,Low,average,LITTLE,No,No,B,D,B,B,C,B,C,D,B,C,C,C,D,F,FAIR
Female,'SENIOR ADULT',Yes,Bachelor,Yes,NCE/Diploma/HND,Yes,Yes,Yes,Parents,Single,Near,average,average,'VERY LITTLE',Yes,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,GOOD
Female,'SENIOR ADULT',Yes,Bachelor,Yes,Bachelor,Yes,Yes,Yes,Parents,Single,Far,average,average,LITTLE,Yes,No,B,A,A,B,C,A,A,B,A,C,D,C,D,D,GOOD
Male,ADULT,No,Secondary,Yes,Bachelor,No,Yes,No,father,Single,Far,average,average,LITTLE,Yes,No,B,C,D,A,C,C,C,C,A,C,F,F,F,F,FAIR
Female,'SENIOR ADULT',Yes,NCE/Diploma/HND,Yes,Secondary,Yes,No,No,Mother,Single,Far,average,Low,LITTLE,Yes,No,C,F,C,B,A,C,C,C,A,C,D,D,F,F,FAIR
Female,'SENIOR ADULT',No,Secondary,Yes,Secondary,No,No,No,father,Single,Far,Low,average,MUCH,No,No,C,D,C,C,C,B,D,C,B,D,F,D,ABS,F,FAIIR
Female,ADULT,Yes,Bachelor,Yes,NCE/Diploma/HND,Yes,Yes,Yes,Parents,Single,Near,average,average,MUCH,No,No,B,C,D,A,A,C,D,F,B,C,D,ABS,F,F,FAIR
Male,'SENIOR ADULT',Yes,Masters,Yes,Bachelor,Yes,Yes,Yes,Parents,Single,Far,average,average,LITTLE,No,No,B,A,B,A,A,C,A,B,A,C,C,D,F,A,GOOD
Female,'SENIOR ADULT',Yes,Bachelor,Yes,Bachelor,Yes,Yes,Yes,Parents,Single,Near,average,average,LITTLE,Yes,No,A,A,A,A,B,D,B,C,A,D,D,C,D,D,GOOD
Male,'SENIOR ADULT',Yes,NCE/Diploma/HND,No,Secondary,Yes,No,No,Mother,Single,Far,average,Low,LITTLE,Yes,No,B,C,C,A,A,D,B,C,B,D,F,D,F,F,FAIR
Male,'SENIOR ADULT',Yes,Secondary,Yes,NCE/Diploma/HND,No,Yes,Yes,father,Single,Far,Low,average,LITTLE,No,No,B,D,B,B,C,D,C,B,B,C,F,D,F,F,FAIR
Male,ADULT,Yes,Secondary,Yes,NCE/Diploma/HND,Yes,Yes,Yes,father,Single,Near,Low,average,LITTLE,Yes,No,B,C,D,B,C,F,D,D,A,B,D,C,F,F,FAIR
Male,ADULT,Yes,Secondary,Yes,Secondary,No,No,Yes,Parents,Single,'Very far',Low,Low,MUCH,No,No,C,ABS,ABS,C,F,C,D,D,B,C,F,D,F,F,FAIL
Male,ADULT,No,Secondary,Yes,NCE/Diploma/HND,No,Yes,No,father,Single,Far,Low,Low,LITTLE,No,No,A,D,A,C,C,F,F,D,C,D,F,C,F,F,FAIL
Female,'SENIOR ADULT',Yes,NCE/Diploma/HND,Yes,NCE/Diploma/HND,Yes,Yes,Yes,Parents,Single,Far,average,average,LITTLE,Yes,No,A,B,C,B,B,A,D,C,A,B,C,D,D,ABS,GOOD
Male,'SENIOR ADULT',Yes,Bachelor,Yes,Bachelor,Yes,Yes,Yes,Parents,Single,Near,average,average,LITTLE,Yes,No,B,C,C,B,A,B,B,B,A,C,D,D,F,D,GOOD
Female,ADULT,Yes,Bachelor,No,NCE/Diploma/HND,Yes,Yes,No,Mother,Single,Near,average,average,'VERY LITTLE',Yes,No,A,A,B,A,A,B,C,B,B,D,B,F,D,F,GOOD
Female,'SENIOR ADULT',Yes,NCE/Diploma/HND,Yes,Bachelor,Yes,Yes,Yes,Parents,Single,Far,average,average,LITTLE,Yes,No,C,D,A,B,C,C,C,D,B,D,D,D,F,F,FAIR
Female,'SENIOR ADULT',No,Secondary,Yes,Secondary,Yes,Yes,Yes,Parents,Single,Far,Low,average,MUCH,No,No,C,C,B,C,D,D,C,D,B,C,D,D,F,F,FAIR
Female,'SENIOR ADULT',Yes,NCE/Diploma/HND,Yes,NCE/Diploma/HND,Yes,Yes,Yes,Parents,Single,Far,Low,average,MUCH,No,No,C,D,B,B,B,C,C,C,B,C,D,D,D,D,FAIR
Male,'SENIOR ADULT',No,Secondary,Yes,NCE/Diploma/HND,No,Yes,No,father,Single,Far,Low,Low,LITTLE,No,No,B,D,C,F,D,F,D,D,D,D,D,D,F,D,FAIL
?,'SENIOR ADULT',Yes,Secondary,Yes,NCE/Diploma/HND,Yes,Yes,Yes,Parents,Single,Far,average,average,'VERY LITTLE',Yes,?,A,C,A,A,A,A,B,B,A,B,D,A,D,A,GOOD
Female,'SENIOR ADULT',Yes,Bachelor,Yes,Bachelor,Yes,Yes,Yes,Parents,Single,Near,average,average,LITTLE,Yes,No,B,B,A,A,A,C,A,D,A,C,B,D,C,D,GOOD
Male,'SENIOR ADULT',Yes,NCE/Diploma/HND,Yes,Bachelor,Yes,Yes,Yes,Parents,Single,Far,average,average,LITTLE,Yes,No,B,B,A,A,B,D,C,D,A,B,B,C,D,A,GOOD
